symbol,name,code,icon
US$,United States Dollar,USD,https://www.kestrel.ws/flags/current/sm/usa.png
€,Euro,EUR,https://www.kestrel.ws/flags/current/sm/eec.png
franc,Central African CFA,XAF,https://www.kestrel.ws/flags/current/sm/cmr.png
CA$,Canadian Dollar,CAD,https://www.kestrel.ws/flags/current/sm/can.png
