Incident Date,Total Number of Dead and Missing,Coordinates
"Fri, 01/01/2021 , 12:00",2,"29.36820243, -103.7272989"
"Sat, 01/02/2021 , 12:00",1,"31.1745732, -105.3571764"
"Sat, 01/02/2021 , 12:00",7,"35.97300155, 0.097709576"
"Sun, 01/03/2021 , 12:00",2,"33.02654103, 13.33423606"
"Sun, 01/03/2021 , 12:00",2,"33.02654103, 13.33423606"
"Sun, 01/03/2021 , 12:00",2,"33.02654103, 13.33423606"
"Sun, 01/03/2021 , 12:00",1,"33.02654103, 13.33423606"
"Sun, 01/03/2021 , 12:00",1,"33.02654103, 13.33423606"
"Sun, 01/03/2021 , 12:00",12,"-28.89352642, 27.89818156"
"Sun, 01/03/2021 , 12:00",1,"36.33183667, 0.717642324"
"Sun, 01/03/2021 , 12:00",1,"35.7694288, -0.7996491"
"Mon, 01/04/2021 , 12:00",1,"35.4913096, -1.2197178"
"Mon, 01/04/2021 , 12:00",1,"29.32804465, -100.9316879"
"Mon, 01/04/2021 , 12:00",7,"8.629444874, -77.33744874"
"Tue, 01/05/2021 , 12:00",4,"28.2892937, -16.3786997"
"Tue, 01/05/2021 , 12:00",1,"10.4302113, -75.5445593"
"Tue, 01/05/2021 , 12:00",1,"40.94315389, 26.34585211"
"Wed, 01/06/2021 , 12:00",1,"40.94447125, 26.35986622"
"Wed, 01/06/2021 , 12:00",2,"35.1099953, -2.7307058"
"Wed, 01/06/2021 , 12:00",1,"0.8150687, -77.7165925"
"Wed, 01/06/2021 , 12:00",1,"41.42192977, 26.6253197"
"Thu, 01/07/2021 , 12:00",1,"27.75958328, -15.68554581"
"Thu, 01/07/2021 , 12:00",1,"40.94382293, 26.35849293"
"Thu, 01/07/2021 , 12:00",10,"35.14673478, -2.427162152"
"Fri, 01/08/2021 , 12:00",1,"28.713166, -100.5093583"
"Fri, 01/08/2021 , 12:00",2,"35.17297089, -2.906640912"
"Fri, 01/08/2021 , 12:00",1,"29.33161137, -100.9372101"
"Fri, 01/08/2021 , 12:00",1,"28.697183, -100.3980824"
"Sat, 01/09/2021 , 12:00",1,"28.7117767, -100.5134411"
"Sun, 01/10/2021 , 12:00",3,"35.22517618, 11.15120828"
"Sun, 01/10/2021 , 12:00",1,"27.8821317, -16.61265091"
"Sun, 01/10/2021 , 12:00",1,"35.8859977, -5.3212788"
"Sun, 01/10/2021 , 12:00",1,"35.9097178, -5.4004997"
"Mon, 01/11/2021 , 12:00",1,"35.56733278, 11.81751055"
"Tue, 01/12/2021 , 12:00",1,"41.32424903, 26.4951148"
"Tue, 01/12/2021 , 12:00",1,"35.8996913, -5.2794323"
